setup,event,feature_budget,block_length,best_mcc,best_balanced_accuracy,best_f1,min_fpr,selected_configuration
A,RH,10,750,0.907819270324271,0.952584670231729,0.950559158917368,0.011764705882352941,0
A,RH,10,800,0.9075677322668974,0.9518145161290323,0.9498412936341966,0.012701612903225806,0
A,RH,10,850,0.9048589804707932,0.9508620689655173,0.9494267863753876,0.014285714285714285,0
A,RH,10,900,0.904774290696246,0.9511083743842365,0.9496913366399378,0.013793103448275862,0
A,RH,10,950,0.9025489163243353,0.95,0.9486781789638933,0.015384615384615385,0
A,RH,10,1000,0.9101102183882347,0.9538461538461538,0.9522980884661557,0.015384615384615385,0
A,RH,15,50,0.8493258622644421,0.9205769230769232,0.914637371494541,0.009615384615384616,0
A,RH,15,100,0.8722663624531848,0.9334615384615385,0.9295602753340407,0.01,0
A,RH,15,150,0.8738422094713485,0.9341493268053854,0.9302596335040241,0.010492316061471506,0
A,RH,15,200,0.8714954063937824,0.9330769230769231,0.9290574185896127,0.01076923076923077,0
A,RH,15,250,0.8750196682573683,0.9346153846153846,0.9305020916326422,0.009615384615384616,0
A,RH,15,300,0.883568385088368,0.9393844049247606,0.935909662914797,0.011627906976744186,0
A,RH,15,350,0.8886730003491679,0.9422374429223744,0.9393384741465096,0.011035007610350075,0
A,RH,15,400,0.8856514386359751,0.9400000000000001,0.9361041987673344,0.009230769230769232,0
A,RH,15,450,0.8676411992891655,0.9299153055051421,0.9243887967610032,0.010526315789473684,0
A,RH,15,500,0.8422353116811211,0.9153846153846154,0.9082048244777499,0.011538461538461539,0
A,RH,15,550,0.9130388544086641,0.9551803885291397,0.953376645010828,0.00851063829787234,0
A,RH,15,600,0.9113486660378038,0.9544134727061555,0.9527467375568641,0.009639953542392566,0
A,RH,15,650,0.9095624355215935,0.9538461538461538,0.9522048364153628,0.010256410256410256,0
A,RH,15,700,0.8983971123318394,0.9475975975975975,0.9463479727336992,0.01111111111111111,0
A,RH,15,750,0.9134744397919489,0.9555258467023172,0.9537251471579828,0.011764705882352941,0
A,RH,15,800,0.9140003136099093,0.9549395161290324,0.9531105244034274,0.012701612903225806,0
A,RH,15,850,0.911227702285154,0.9544334975369457,0.9530763491538069,0.014039408866995073,0
A,RH,15,900,0.904774290696246,0.9511083743842365,0.9498095614950047,0.013793103448275862,0
A,RH,15,950,0.9101102183882347,0.9538461538461538,0.9523076923076923,0.015384615384615385,0
A,RH,15,1000,0.9101102183882347,0.9538461538461538,0.9523041216486595,0.015384615384615385,0
