setup,src,dst,rho,abs_rho,edge_stability,dependence_score,graph_method
A,Core1 (Socket 0).7_L3HIT,Core2 (Socket 0).7_L3HIT,0.15816371740581822,0.15816371740581822,1.0,0.15816371740581822,stable_rank_precision
A,Core1 (Socket 0).8_L2HIT,Socket 0.8_L2HIT,0.13657929812888495,0.13657929812888495,1.0,0.13657929812888495,stable_rank_precision
A,Core1 (Socket 0).8_L2HIT,System.10_L2HIT,0.13657929812888517,0.13657929812888517,1.0,0.13657929812888517,stable_rank_precision
A,Core2 (Socket 0).10_L2MPI,Core2 (Socket 0).6_L2MISS,0.2836988793479451,0.2836988793479451,1.0,0.2836988793479451,stable_rank_precision
A,Core2 (Socket 0).10_L2MPI,Core2 (Socket 0).7_L3HIT,0.3469646329308451,0.3469646329308451,1.0,0.3469646329308451,stable_rank_precision
A,Core2 (Socket 0).10_L2MPI,Core2 (Socket 0).9_L3MPI,0.343473872284676,0.343473872284676,1.0,0.343473872284676,stable_rank_precision
A,Core2 (Socket 0).11_C0res%,Core2 (Socket 0).12_C1res%,-0.5805526892392905,0.5805526892392905,1.0,0.5805526892392905,stable_rank_precision
A,Core2 (Socket 0).11_C0res%,Core2 (Socket 0).14_C6res%,-0.12547999396087298,0.12547999396087298,1.0,0.12547999396087298,stable_rank_precision
A,Core2 (Socket 0).11_C0res%,Core2 (Socket 0).2_FREQ,0.3009715878636213,0.3009715878636213,1.0,0.3009715878636213,stable_rank_precision
A,Core2 (Socket 0).11_C0res%,SKT0 Core C-State_C0res%,0.1363131939122099,0.1363131939122099,1.0,0.1363131939122099,stable_rank_precision
A,Core2 (Socket 0).11_C0res%,System Core C-States_C0res%,0.13631319391220853,0.13631319391220853,1.0,0.13631319391220853,stable_rank_precision
A,Core2 (Socket 0).12_C1res%,Core2 (Socket 0).14_C6res%,-0.13542303326509617,0.13542303326509617,1.0,0.13542303326509617,stable_rank_precision
A,Core2 (Socket 0).12_C1res%,Core2 (Socket 0).18_ACYC,-0.14341114023822374,0.14341114023822374,1.0,0.14341114023822374,stable_rank_precision
A,Core2 (Socket 0).12_C1res%,Core2 (Socket 0).2_FREQ,-0.1823895351026376,0.1823895351026376,1.0,0.1823895351026376,stable_rank_precision
A,Core2 (Socket 0).14_C6res%,Core2 (Socket 0).15_C7res%,-0.1800150890322835,0.1800150890322835,1.0,0.1800150890322835,stable_rank_precision
A,Core2 (Socket 0).14_C6res%,Core2 (Socket 0).2_FREQ,-0.1477727544386516,0.1477727544386516,1.0,0.1477727544386516,stable_rank_precision
A,Core2 (Socket 0).14_C6res%,Core3 (Socket 0).14_C6res%,-0.2905231611537755,0.2905231611537755,1.0,0.2905231611537755,stable_rank_precision
A,Core2 (Socket 0).14_C6res%,SKT0 Core C-State.3_C6res%,0.21671629116879496,0.21671629116879496,1.0,0.21671629116879496,stable_rank_precision
A,Core2 (Socket 0).14_C6res%,System Core C-States.3_C6res%,0.21671629116879457,0.21671629116879457,1.0,0.21671629116879457,stable_rank_precision
A,Core2 (Socket 0).15_C7res%,Core3 (Socket 0).15_C7res%,-0.19783142597782627,0.19783142597782627,1.0,0.19783142597782627,stable_rank_precision
